City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,nahiyat ash shinafiyah,31.5874,44.6602,303.51,21,85,3.82,IQ,1697073844
241,pombas,17.1503,-25.0201,299.03,75,97,1.53,CV,1697073844
242,malvan,16.0667,73.4667,299.15,85,100,2.55,IN,1697073844
243,minas de marcona,-15.2119,-75.1103,287.07,84,100,6.17,PE,1697073844
244,vila velha,-20.3297,-40.2925,297.12,89,40,4.92,BR,1697073568
245,kangding,30.0513,101.9603,283.84,90,76,0.94,CN,1697073844
246,prineville,44.2999,-120.8345,283.77,88,100,0.0,US,1697073844
247,okhotsk,59.3833,143.3,272.66,57,100,4.1,RU,1697073844
248,floro,61.5996,5.0328,281.13,87,100,11.83,NO,1697073844
249,colonia,50.9333,6.95,293.69,62,0,5.66,DE,1697073589
250,moroni,-11.7022,43.2551,297.31,84,17,0.87,KM,1697073621
251,mirny,62.5353,113.9611,277.17,69,100,0.89,RU,1697073844
252,kodiak,57.79,-152.4072,277.88,48,100,5.14,US,1697073845
253,drama,41.1544,24.1394,287.96,75,1,1.32,GR,1697073845
254,chonchi,-42.6128,-73.8092,280.71,80,60,2.75,CL,1697073845
255,mayahi,13.9553,7.6712,302.85,24,8,4.15,NE,1697073845
256,akureyri,65.6835,-18.0878,274.11,64,100,3.09,IS,1697073845
257,mokhsogollokh,61.4681,128.9203,281.61,86,100,5.49,RU,1697073845
258,kattivakkam,13.2167,80.3167,301.52,86,100,0.8,IN,1697073845
259,macae,-22.3708,-41.7869,296.01,94,0,4.12,BR,1697073845
260,yemva,62.59,50.8594,275.4,96,100,4.47,RU,1697073845
261,jamestown,42.097,-79.2353,282.92,97,100,1.54,US,1697073812
262,lata,40.1629,-8.3327,289.86,51,32,1.23,PT,1697073845
263,beardstown,40.0176,-90.4243,293.7,69,100,5.25,US,1697073845
264,ndjole,-0.1783,10.7649,297.07,99,100,0.96,GA,1697073845
265,hajo,26.25,91.5333,299.17,94,75,1.54,IN,1697073845
266,cill airne,52.05,-9.5167,283.38,92,100,1.56,IE,1697073845
267,la'ie,21.6477,-157.9253,303.13,69,100,4.47,US,1697073565
268,saint-philippe,-21.3585,55.7679,293.92,64,93,2.12,RE,1697073846
269,ola,59.5833,151.2833,273.23,51,0,4.91,RU,1697073846
270,maceio,-9.6658,-35.7353,296.84,100,40,2.06,BR,1697073846
271,hadibu,12.65,54.0333,300.22,81,81,2.16,YE,1697073846
272,catemaco,18.4167,-95.1167,297.82,84,20,2.8,MX,1697073846
273,chicoana,-25.1009,-65.5331,288.18,67,100,1.06,AR,1697073846
274,nizhniy odes,63.6445,54.856,272.48,77,96,3.96,RU,1697073846
275,severo-yeniseyskiy,60.3725,93.0408,281.25,83,100,7.15,RU,1697073846
276,dzitbalche,20.3167,-90.05,302.27,66,34,0.58,MX,1697073846
277,yebaishou,41.3975,119.6408,289.65,48,57,2.03,CN,1697073846
278,inarajan village,13.2736,144.7484,304.69,83,100,10.42,GU,1697073846
279,okha,53.5739,142.9478,283.03,73,100,7.19,RU,1697073846
280,laojunmiao,39.8333,97.7333,283.51,33,100,0.79,CN,1697073846
281,reggane,26.7158,0.1714,300.44,23,1,9.72,DZ,1697073846
282,sirte,31.2089,16.5887,296.08,66,0,3.02,LY,1697073846
283,anloga,5.7947,0.8973,299.42,87,100,5.28,GH,1697073847
284,ishqoshim,36.7248,71.6133,279.82,33,5,0.81,TJ,1697073847
285,qamdo,31.1667,97.2333,273.63,85,95,0.18,CN,1697073847
286,fomboni,-12.28,43.7425,298.32,80,14,1.5,KM,1697073847
287,mount pearl,47.5166,-52.7813,285.35,97,75,2.06,CA,1697073847
288,hammerfest,70.6634,23.6821,271.4,80,75,6.69,NO,1697073847
